model;price;kilometer;fuel type;vitesse;engine
Kia Sorento 2007 Ki  sorento;70;231156km;Diesel;2.4;Manuelle
Chery QQ 2013 QQ;70;240km;Essence;0.8 ess 38ch;Manuelle
Renault Clio 1 1993 Clio 1;70;;Essence;Express 73;Manuelle
Renault Clio 2 1999 Clio 2;70;00km;Essence;1.4 injection;Manuelle
Peugeot 505 1989 505;70;275608km;GPL;2.2 GTI 130ch;Manuelle
JAC J2 2012;70;;;;
Peugeot 306 1996 306;70;57000km;Diesel;La 8 simple;Manuelle
Volkswagen Passat 1998 Passat;70;530000km;Diesel;1.9 TDI 110ch;Manuelle
Volkswagen Gol 2005 Gol;70;438000km;GPL;1.6 ess;Manuelle
Citroen Saxo 2000 Saxo;70;500000km;Diesel;1.5 D 58ch;Manuelle
Nissan Micra 2013;70;;;;
Volkswagen Golf 4 2002 Special;70;458000km;Diesel;1.9 TDI 100ch;Manuelle
Tata Indigo 2003 Indigo;70;580000km;Diesel;;Manuelle
Ford Fiesta 2005 City;70;294000km;Diesel;1.4 TDCI 68ch;Manuelle
Renault 19 1997 Storia;70;;Essence;1.4;Manuelle
Mercedes Classe C 1987;70;300000km;Essence;190 E;Manuelle
Renault Express 2000 Express;70;1111km;Diesel;1.9;Manuelle
Dacia Sandero 2009 Sandero;70;333333km;GPL;1.4;Manuelle
Volkswagen Passat 1997 Passat;70;434km;Diesel;1.9 TDI 90ch;Manuelle
Lifan 520 2009 LX;70;245.000km;Essence;1.3 ess 65ch;Manuelle
Renault Laguna 1 1996 Laguna 1;70;0km;Essence;1.8 ess 95ch;Manuelle
Peugeot 306 1998 306;70;650km;Diesel;La8 turbo;Manuelle
Dacia Sandero 2017 Stepway;70;;;;
Renault Clio 2 2002 Clio 2;70;568km;Diesel;1.9 DTI 80ch;Manuelle
Mercedes MB100 1995;70;;;;
Citroen G5 1991 G5 fitré;70;;;;
Renault Express 1995 Express;70;580km;Essence;;Manuelle
Renault Laguna 1 1999 Laguna 1;70;111km;Diesel;1.9 DTI 100ch;Manuelle
Renault Twingo 2001 Twingo;70;300km;Essence;1.2 ess 60ch;Manuelle
Renault Express 1995 Express;70;10km;Essence;1.2 ess 55ch;Manuelle
ibiza Seat 1999;70;;;;
Mercedes Mercedes 123 1982 Mercedes 300D;70;;;;
Kia Picanto 2015;70;00005km;Diesel;1.0 ess 69ch;Manuelle
Chery QQ 2014 QQ;70;165000km;Essence;1.1 ess 68ch;Manuelle
Chery QQ 2012 QQ;70;;Essence;0.8 ess 38ch;Manuelle
Chery Tiggo 2008 Tiggo;70;560000km;Essence;1.6 ess 120ch;Manuelle
Citroen Xsara 2001 Xsara;70;111111km;Diesel;2.0 HDI 90ch;Manuelle
Hyundai Sonata 2001;70;;;;
Renault Megane 2 2003 Extreme;70;305km;Diesel;1.5 DCI 80ch;Manuelle
Peugeot 206 2005;70;;Diesel;2.0 HDI 90ch;Manuelle
Chery QQ 2013 QQ;70;133000km;Essence;0.8 ess 38ch;Manuelle
Peugeot 206 2000 206;70;200000km;Diesel;Hdi 2L;Manuelle
Chery QQ 2012 QQ;70;270000km;Essence;0.8 ess 38ch;Manuelle
Hyundai Matrix 2005 Matrix;70;0000km;Diesel;1.5 CRDI 110ch;Manuelle
Peugeot 607 2000 607;70;3000000km;Diesel;2l 110;Manuelle
Peugeot 607 2000 607;70;280000km;Diesel;110;Manuelle
Foryota Grand tigre 2009 Double cabine 4*4;70;;;;
Audi A6 2001 A6;70;65km;Diesel;1.9 tdi 115 ch;Manuelle
Volkswagen Polo 2002 Polo;70;1111km;Diesel;1.9 SDI 64ch;Manuelle
Hafei motors Minibus 2007;70;;Essence;;Manuelle
Renault Clio 1 1993;70;1111111km;Essence;1.2 ess 60ch;Manuelle
Citroen Xsara 1999 Xsara;70;500000km;Diesel;1.9 D 68ch;Manuelle
Hafei motors Harbin 2011;70;254km;Essence;1.1;Manuelle
Renault Express 1995 Express;70;;Diesel;1.9 D 55ch;Manuelle
Renault Megane 2 2004 Megane 2;70;34000km;Diesel;1.5 80 ch;Vert Militaire
Peugeot 206 2003 206;70;430500km;Essence;1.4 ess 75ch;Manuelle
Volkswagen Polo classique 2005 Polo classique;70;603400km;Diesel;1.9 SDI;Manuelle
Daewoo Nubira 1999 Nubira;70;360000km;GPL;1.6 ess 106ch;Manuelle
Suzuki Maruti 800 2013 Maruti 800;70;140000km;Essence;0.8 ess 47ch;Manuelle
Renault Megane 1 Coupé 1998 Megane 1 Coupé;70;00000km;Diesel;1.9;Manuelle
Peugeot 307 2007 SW;70;111km;Diesel;2.0 110;Manuelle
JAC J2 2011 A10;70;154000km;Essence;;Manuelle
papier papier 2023;70;;;;
BMW R850 1976;70;46000km;Essence;850;Manuelle
Audi S3 sport 2002 Sport;70;400000km;Diesel;110;Manuelle
Suzuki Maruti 800 2009 Maruti 800;70;128km;Essence;0.8 47;Manuelle
Volkswagen Volkswage t2 1972;70;;Essence;;Manuelle
Renault Nivada 1995;70;;Diesel;;Manuelle
Renault Megane 1 1999;70;;Diesel;1.9 D 65ch;Manuelle
Chery QQ 2013 QQ;70;190km;Essence;0.8 ess 38ch;Manuelle
Peugeot J5 1989;70;99999999km;Diesel;La10;Manuelle
Fiat Tipo 2023 Life;70;3km;Essence;1.6 ;Automatique
Peugeot 406 1999 406;70;1km;GPL;1.8ess;Manuelle
Dacia Sandero 2021 Stepway;70;40.000km;Diesel;1.5 DCI 90ch;Manuelle
Chery QQ 2013;70;;Essence;;
Chana benni changan 2014 ....;70;297km;;1.1;Manuelle
Suzuki Maruti 800 2007 Maruti 800;70;8700km;Essence;0.8 ess 47ch;Manuelle
Volkswagen Golf 2 1989 Mk2;70;;Essence;1.8 ess 90ch;Manuelle
Volkswagen Golf 2 1989 Mk2;70;;Essence;90;Manuelle
Renault Clio 1 1997 Clio 1;70;0000km;Diesel;1.9 D 65ch;Manuelle
Opel Astra 2002 Astra;70;00km;Diesel;1.7 DTI 16V 75ch;Manuelle
Peugeot 406 1996 406;70;6000000km;Diesel;2.0 HDi;Manuelle
Renault Super 5 1988 Super 5;70;;Essence;;Manuelle
Volkswagen Golf 2 1989 Golf 2;70;333336km;Essence;1.8 ess 90ch;Manuelle
Volkswagen Vento 1995 Vento;70;250000km;Diesel;1.9 TDI 90ch;Manuelle
Lifan 520 2008;70;270km;Essence;Bon etat;Manuelle
Fiat Scudo 2023;70;00km;Diesel;2.0 HDi 150cv;Manuelle
Volkswagen Passat 2000 Passat;70;400km;Diesel;1.9 TDI 90ch;Manuelle
Renault Laguna 1 1998 Laguna 1;70;300km;Diesel;2.2;Manuelle
Peugeot 405 1988 405;70;;GPL;Bx;Manuelle
Chery QQ 2013 QQ;70;240000km;Essence;1.1 ess 68ch;Manuelle
Peugeot 306 1999 306;70;1234567km;Diesel;1.9 D 71ch;Manuelle
Mercedes Classe E 1985 Classe E;70;;Diesel;;Manuelle
Renault Clio 2 2001 Clio 2;70;00000000km;Diesel;1.9 D 65ch;Manuelle
Renault 19 1994 19;70;;Diesel;1.9 DT 93ch;Manuelle
Daewoo Lanos 2002 Lanos;70;;GPL;;Manuelle
Suzuki Alto 2007 Alto;70;268000km;Essence;1.0 ess 68ch;Manuelle
Renault Megane 1 1998 Megane 1;70;1111111111km;Essence;1.4 ess 70ch;Manuelle
Faw V 70 2013 V 70;70;250km;GPL;1.1;Manuelle
Chery QQ 2013 QQ;70;227000km;Essence;1.1 ess 68ch;Manuelle
Renault Clio 2 1999 Clio 2;70;;Diesel;1.9 D 65ch;Manuelle
Lifan 520 2011 520;70;258000km;Essence;1.3 ess 65ch;Manuelle
Volkswagen Polo 1999 TrendLine;70;300km;Diesel;1.9 SDI 64ch;Manuelle
Citroen C8 2005 C8;70;265km;Diesel;2.0 ess 136ch;Manuelle
Fiat Uno 2006 Uno;70;250km;Essence;1.3;Manuelle
Lifan 320 2011;70;254km;Essence;1.3;Manuelle
Volkswagen Golf 3 1995 Series 3;70;;Essence;1.6 es;Manuelle
Hyundai Atos 2003 GLS;70;370000km;Essence;1.1 ;Manuelle
Renault Clio 2 1999 Clio 2;70;300km;Diesel;1.9 D 65ch;Manuelle
Renault Megane 2 2003;70;;Diesel;1.9 DCI 120ch;Manuelle
Chana Star Truck 2009;70;;Essence;1.1;Manuelle
Volkswagen Phaeton 2004;70;360km;GPL;;Manuelle
Dacia Solenza 2006 Solenza;70;100km;Diesel;1.9;Manuelle
DFM DFM 2007;70;;Essence;;Manuelle
Tata Indica 2007;70;;;;
Renault Clio 2 2001 Extreme;70;333333km;Diesel;1.5 DCI 65ch;Manuelle
Lifan 520 2011 520;70;11111km;Essence;1.6 ess 116ch;Manuelle
Suzuki Maruti 800 2011 Maruti 800;70;86000km;Essence;0.8 ess 47ch;Manuelle
Chery QQ 2013 QQ;70;1740000km;Essence;1.1 ess 68ch;Manuelle
Renault Twingo 2001 initial;70;1km;Essence;1.2 ess 60ch;Manuelle
Chana Star II 7 places 2008 Star II 7 places;70;111111111km;Essence;1.0l 68ch;Manuelle
Peugeot J5 1987;70;;Diesel;La 10;
Haima Forstar 2011 Forstar;70;3333333km;Essence;1.1 ess 60ch;Manuelle
Daewoo Cielo 1997 Cielo;70;111111km;GPL;1.5 ess 75ch;Manuelle
Peugeot 206 2001 206;70;;Diesel;La7;Manuelle
Suzuki Alto 2007 Alto;70;310000km;Essence;;Manuelle
Peugeot 206 2002 206;70;;Essence;1.4 ess 75ch;
Volkswagen Vento 1995 Vento;70;;Essence;1.8 ess 90ch;Manuelle
Chevrolet Optra 5 portes 2007 Optra 5 portes;70;444444km;GPL;1.5 moteur aveo;Manuelle
Suzuki Maruti 800 2010 Maruti 800;70;141000km;Essence;0.8 ess 47ch;Manuelle
Peugeot 206 2004 206;70;;Diesel;;Manuelle
Suzuki Maruti 800 2013 Maruti 800;70;;Essence;0.8 ess 47ch;Manuelle
Citroen Xsara 2002 Xsara;70;495000km;Diesel;1.9 D 68ch;Manuelle
Chery QQ 2013 QQ;70;111km;Essence;1.1 ess 68ch;Manuelle
Suzuki Maruti 800 2010 Maruti 800;70;;Essence;0.8 ess 47ch;Manuelle
Seat Leon 2019 Cupra coper;70;76000km;Essence;2.0 TSi 290ch;Automatique
Land Rover 109 Série III 1981 109 Série III;70;9999999999km;Diesel;;Manuelle
Daewoo Cielo 1997 Cielo;70;404km;GPL;1.5 ess 75ch;Manuelle
Suzuki Maruti 800 2012;70;;Essence;0.8 ess 47ch;Manuelle
Volkswagen Polo 2000 Polo;70;0km;Diesel;1.9 SDI 64ch;Manuelle
Suzuki Maruti 800 2012 Maruti 800;70;170km;Essence;0.8 ess 47ch;Manuelle
Renault Clio 1 1998 Clio 1;70;0000000km;Diesel;1.9;Manuelle
Peugeot 206 2000 206;70;55555km;Diesel;1.9 D 70ch;Manuelle
Peugeot 206 2002 206;70;0000000km;Diesel;1.9 D 70ch;Manuelle
Daewoo Nubira 2000 Nubira;70;400000km;GPL;AVEO;Manuelle
Renault Clio 2 2001 Clio 2;70;;Diesel;1.9;Manuelle
Volkswagen Golf 2 1989 Golf 2;70;;Essence;1.8 ess 90ch;Manuelle
Renault Clio 1 2001 Clio 1;70;;Diesel;1.9D;Manuelle
Suzuki Maruti 800 2008 Maruti 800;70;1111111km;Essence;0.8 ess 47ch;Manuelle
Peugeot 106 1996 106;70;438km;Essence;1.1 ess 60ch;Manuelle
Opel Astra 2009 Astra;70;;Diesel;1.7 CDTI 100ch;Manuelle
BMW 8 1979 8;70;;GPL;;Manuelle
Suzuki Gypsy 2003;70;300000km;Essence;1300;Manuelle
BMW Série 3 1987 Sport;70;11225km;Essence;325ix;Manuelle
Renault Clio Classique 2004;70;600000km;Essence;;Manuelle
Lancia Ypsilon 2002 Ypsilon;70;289000km;Essence;1.3 ess 60ch;Manuelle
Fiat Punto 2003;70;;Diesel;1.9 D 60ch;Manuelle
Renault Clio 1 1996;70;;Essence;1.2 chipy;Manuelle
Chérie Cowin 1.6 2005;70;186210km;GPL;Ess1.6;Manuelle
Volkswagen Gol 2006 Gol;70;534646km;Diesel;1.9 SD;Manuelle
Volkswagen Golf 3 1994 Golf 3;70;400000km;Diesel;1.9 D 64ch;Manuelle
Kia Rio 5 portes 2003 Rio 5 portes;70;500000km;GPL;1.5 16v;Manuelle
Volkswagen Bora 2001 Bora;70;1km;Diesel;1.9 TDI 130ch;Manuelle
Renault Clio 2 2004 Clio 2;70;;;1.4;
Chery QQ 2013 QQ;70;;Essence;1.1 ess 68ch;
Fiat Siena 2006 Siena;70;3033km;;1.2 16vv;Manuelle
Volkswagen Polo 2003 Polo;70;;Diesel;1.9 SDI 64ch;Manuelle
Renault Clio 2 2002 Clio 2;70;;Diesel;1.5 DCI 65ch;Manuelle
Mercedes Vito 1996 110;70;5555555km;;1.9;Manuelle
Renault Clio 2 1998;70;180000km;Diesel;1.9 D 65ch;Manuelle
Lada Niva 1987 Niva;70;;Essence;;Manuelle
Suzuki Alto 2010 Alto;70;265000km;Essence;1.0 ess 68ch;Manuelle
Volkswagen Transporter 1997 Transporter;70;111km;Diesel;1.9;Manuelle
Peugeot 206 2002 206;70;560000km;Essence;1.4 ess 75ch;Manuelle
Renault Safrane 1993;70;;Essence;;Manuelle
Renault Megane 1 1999 1999;70;480km;Diesel;1.9;Manuelle
Renault Clio 2 2000 Clio 2;70;1000000km;Diesel;1.9 D 65ch;Manuelle
Rono Clio 2001 Bon ita;70;000000km;Diesel;1.9;Manuelle
Renault Kangoo 1999 Kangoo;70;712299km;Diesel;1.9 D 65ch;Manuelle
Peugeot 309 1990 309;70;1111111km;Essence;;Manuelle
Renault Clio 1 1996 Clio 1;70;0000000000km;Essence;1.4 ess 80ch;
Volkswagen Golf 3 1993 Golf 3;70;400000km;Diesel;Gtd 1.9;Manuelle
Renault Megane 2 Coupé 2004 Megane 2 Coupé;70;500km;Diesel;1.5;Manuelle
Renault Kangoo 2000 Kangoo;70;706000km;Diesel;1.9 D 65ch;Manuelle
Peugeot 406 1997 ;70;;Essence;2.0 ess 16V 135ch;Manuelle
Renault Clio 2002 Clio2;70;60000km;Essence;;Manuelle
Isuzu Maruti 2012;70;;Essence;;Manuelle
Renault Clio 1 1998;70;;Diesel;1.9;Manuelle
Lifan 520 2011;70;111111km;GPL;1.6 ess 116ch;Manuelle
Renault Renault25 1991;70;1111km;Essence;;Manuelle
Renault Megane 1 2001 Megane 1;70;491963km;Diesel;1.9 DTI;Manuelle
Suzuki Maruti Zen 2004 Maruti Zen;70;233000km;Essence;1.0 ess 68ch;Manuelle
Renault Megane 1 1996 Megane 1;70;138383km;Diesel;;Manuelle
Renault 5 1986;70;;Essence;;Manuelle
Mercedes Classe C 1998;70;120km;Essence;180 GPL;Manuelle
Suzuki Maruti 800 2012 Maruti 800;70;160000km;Essence;0.8 ess 47ch;Manuelle
Chery QQ 2013;70;200km;Essence;1.1 ess 68ch;Manuelle
Hyundai Atos 1999 GL;70;42000km;Essence;;Manuelle
Tata Grand Tata Safari 2001 Safari;70;26000km;Diesel;;Manuelle
Daewoo Nubira 1999 Nubira;70;447km;GPL;1.6 ess 106ch;Manuelle
Volkswagen Vento 1995;70;33333333km;Diesel;1.9 TDI 90ch;Manuelle
Isuzu 4×4 2002 Pick up;70;;Diesel;Gms;Manuelle
Suzuki Maruti 800 2010 Maruti 800;70;153000km;Essence;0.8 ess 47ch;Automatique
Nissan X Trail 2006 X Trail;70;500000km;Diesel;T30 2.2;Manuelle
Kia Sportage 2009 Sorinto;70;11111111km;Diesel;CRDI 4X2 136ch;Manuelle
Chery QQ 2012 QQ;70;242km;Essence;0.8 ess 38ch;Manuelle
Sym citycom 300i Sym 2019 9/10;70;16000km;Essence;300;Manuelle
Renault Express 1997 Express;70;;Diesel;1.9;Manuelle
Renault Clio 2 2000 Clio 2;70;536km;Diesel;1.9 D 65ch;Manuelle
Volkswagen Golf 3 1992 Golf 3;70;111111km;GPL;1.8 ess 90ch;Manuelle
Peugeot 306 2001 Finition HDI;71;526000km;Diesel;1.9 D 71ch;Manuelle
Peugeot 206 2000 206;71;239000km;Diesel;1.9 D 70ch;Manuelle
Opel Astra 2000 Astra;71;111111km;Diesel;2.0 DTI 16V 100ch;Manuelle
Audi Tout les marques 2023;71;;;;
Chevrolet Optra 5 portes 2005;71;480000km;GPL;1.6 ess 16V 109ch;Manuelle
Suzuki Maruti 800 2009 Maruti 800;71;184050km;Essence;0.8 ess 47ch;Manuelle
Suzuki Maruti 800 2012;71;1111km;Essence;0.8 ess 47ch;Manuelle
Honda Civic 1998 Civic;71;450km;Essence;1.5 ess 114ch;Manuelle
Renault 18 1984 18;71;395470km;GPL;1.7 ess 74ch;Manuelle
Renault Kongo 2001 H;71;0000km;Essence;1.8;Manuelle
Suzuki Maruti 2011;71;38000km;Essence;Yamchi mashalh Roh win habit;Manuelle
Chery QQ 2016 QQ;71;188km;Essence;1.1 ess 68ch;Manuelle
Volkswagen Bora 2001 Bora;71;1km;Diesel;1.9 TDI 130ch;Manuelle
Volkswagen Bora 2001 Bora;71;100km;Diesel;1.9 TDI 130ch;Manuelle
Suzuki Ignis 2004 Ignis;71;330000km;Essence;1.3 VVT 93ch;Manuelle
Renault Kangoo 1998 Kangoo;71;333km;Diesel;1.9 D 65ch;Manuelle
Suzuki Maruti Zen 2005 Maruti Zen;71;;Essence;1.0 ess 68ch;Manuelle
Daewoo Lanos 2001 Lanos;71;3865869km;GPL;1.4 ess 75ch;Manuelle
Suzuki Maruti 800 2011 Maruti 800;71;11111km;Essence;0.8;Manuelle
Renault Clio 2 2000 Clio 2;71;556000km;Diesel;1.9 D 65ch;Manuelle
Peugeot 406 1999;71;;;;
Chevrolet Spark 2007 Spark;72;;Essence;;Manuelle
Chery QQ 2014 QQ;72;262km;Essence;0.8 ess 38ch;Manuelle
Suzuki Maruti 800 2012 Maruti 800;72;215000km;Essence;0.8 ess 47ch;Manuelle
Renault Megane 1 2000 Megane 1;72;60000km;Diesel;1.9 D 65ch;Manuelle
Suzuki Maruti 800 2011 Maruti 800;72;00km;Essence;0.8 ess 47ch;Manuelle
Suzuki Maruti 800 2010;72;175000km;Essence;0.8 ess 47ch;Manuelle
Mercedes 190 1987;72;;;;
Suzuki Maruti 800 2011 Maruti 800;72;100000km;Essence;0.8 ess 47ch;Manuelle
Suzuki Maruti 800 2012 Maruti 800;72;209000km;Essence;0.8 ess 47ch;Manuelle
Zotye Z10 2012;72;220000km;;;
Renault Clio Classique 2002 Clio Classique;72;111km;Essence;1.2 16v;Manuelle
Renault Megane 1 2001 Megane 1;72;4300000km;Diesel;1.9 D 65ch;Manuelle
DFM DFM 2012;72;236km;Essence;1.1;Manuelle
Volkswagen Polo 2005 Polo;72;00km;Essence;1.4 ess 75ch;Manuelle
DFM 2015;72;;Essence;1,1;Manuelle
Suzuki Maruti 800 2011 Maruti 800;72;94000km;Essence;0.8 ess 47ch;Manuelle
Renault Megane 1 2001 Megane 1;72;0km;Diesel;1.9 D 65ch;Manuelle
Renault Clio 2 1999 Clio 2;72;325000km;Diesel;1.9 D 65ch;Manuelle
Renault Twingo 2000 Twingo;72;294000km;Essence;1.2 ess 60ch;Manuelle
Suzuki Alto 2007 Alto;72;278000km;Essence;1.0 ess 68ch;Manuelle
Renault Clio 2 2001 Clio 2;72;240km;Diesel;1.5 DCI 65ch;Manuelle
Citroen Xsara 1999 Xsara;72;500000km;Diesel;2.0 HDI 90ch;Manuelle
Fiat Punto 1999;72;;Essence;1.2 ess 60ch;Manuelle
Citroen Xantia 1998 Xantia;72;340000km;Diesel;La 8 turbo;Manuelle
Volkswagen Golf 2 1992 Golf 2;72;400km;Essence;1.8 ess 98ch;Manuelle
Renault Megane 1 2001;72;0000000000km;;1.9 dci;Manuelle
Suzuki Swift 2006;72;80000km;Essence;1.3 ess 92ch;Manuelle
Renault Clio 2 2000 Clio 2;72;555km;Diesel;1.9 D 65ch;Manuelle
Renault Clio 2 2000;72;667000km;Diesel;1.9 D 65ch;Manuelle
DFM Janbay 2012 Janbiu;72;288888km;Essence;1.1;Manuelle
Suzuki Alto 2007;72;375km;Essence;0.8 ess 46ch;Manuelle
Suzuki Maruti 800 2012 Maruti 800;72;1km;Essence;0.8 ess 47ch;Manuelle
Renault Kangoo 1997 Kangoo;72;00km;Diesel;1.9;Manuelle
Peugeot 205 1998;72;300km;Diesel;;Manuelle
Volkswagen Polo 2000 Polo;72;225000km;Essence;1.4 ess 75ch;Manuelle
Renault Megane 1 2002 Megane 1;72;444km;Diesel;1.9dci;Manuelle
Renault Twingo 2000 Twingo;72;289000km;Essence;1.2 ess 60ch;Manuelle
Zotye Z10 2013 La touts;72;168000km;GPL;1.2;Manuelle
Renault Clio 2 2002 Clio 2;72;400km;Essence;1.4 ess 16V 98ch;Manuelle
Chevrolet Sail 5 portes 2012 Sail 5 portes;72;444444km;Essence;1.2 ess 80ch;Manuelle
Chevrolet Aveo 4 portes 2007 Aveo 4 portes;72;500000km;GPL;1.5 ess 85ch;Manuelle
Peugeot Partner 1997 ;72;123456km;Diesel;1.8;Manuelle
Gonow New king 2012;72;133000km;Essence;;Manuelle
Renault Megane 1 2002 Megane 1;72;444000km;Diesel;1.9 dci;Manuelle
Suzuki Alto 2007 STD;72;00000km;Essence;1.0 ess 68ch;Manuelle
Renault Clio 2 1998;72;325000km;Diesel;1.9 D 65ch;
Volkswagen Golf 5 2005;72;420km;Diesel;2.0 TDI 140ch;Manuelle
Renault Megane 1 2000 Megane 1;73;000km;Diesel;1.9 D 65ch;Manuelle
Renault Clio 2 2001 Extreme;73;100600km;Diesel;1.9 DTI 80ch;Manuelle
Suzuki Maruti 800 2011;73;81000km;Essence;;Manuelle
Chery QQ 2014 QQ;73;230000km;Essence;0.8 ess 38ch;Manuelle
Peugeot 206 2000 206;73;10000km;Diesel;1.9 D 70ch;Manuelle
Suzuki Maruti 800 2012 Maruti 800;73;209000km;Essence;0.8 ess 47ch;Manuelle
JAC A 10 2012 A 10;73;210000km;Essence;1.0 ess 68ch;Manuelle
Volkswagen Gol 2006 Gol;73;360000km;Essence;1.6 ess;Manuelle
Renault Clio 1 1993;73;588km;Essence;1.4 ess 80ch;
Chery QQ 2015 QQ;73;16700km;Essence;1.1 ess 68ch;Manuelle
Suzuki Alto 2009 Alto;73;271000km;Essence;1.0 ess 68ch;Manuelle
Suzuki Alto 2008;73;403500km;Essence;1.0 ess 68ch;Manuelle
Passat B5 1997;73;595745km;Diesel;1.9 110;Manuelle
Peugeot 206 2001;73;;Essence;1.4 ess 75ch;Manuelle
Volkswagen Transporter 1993 T4;73;;Diesel;1.9 tdi;Manuelle
Chery QQ 2014 QQ;73;119km;Essence;1.1 ess 68ch;Manuelle
Maruti 800 2012;73;2000km;Essence;;Manuelle
Chery QQ 2013 QQ;73;240000km;Essence;1.1 ess 68ch;Manuelle
Haima 1 2012 citadine;73;179km;Essence;1.1;Manuelle
Volkswagen Passat 2002 Passat;73;;Diesel;1.9 TDI 100ch;Manuelle
Dacia Solenza 2005 Confort;73;268000km;Diesel;1.9 D 63ch;Manuelle
CAKY HARBIN 2012 HARBIN;73;1km;GPL;;Manuelle
Lifan 520 2008;73;285km;Essence;1.3;Manuelle
Renault Clio 2 1999 Clio 2;73;546327km;Diesel;1.9 D 65ch;Manuelle
Chery QQ 2013 QQ;73;17900km;Essence;1.1 ess 68ch;Automatique
Haima 1 2012 1;73;226km;Essence;1.1 ess 16V 60ch;Manuelle
Daihatsu Terios 2004 Terios;73;301420km;Essence;Toyota 1.3;Manuelle
Renault Clio 1 1997 Clio 1;74;163000km;Diesel;1.9 D 65ch;Manuelle
Renault Clio Classique 2004 Clio Classique;74;445000km;Diesel;1.9;Manuelle
Suzuki Alto 2008;74;425km;Essence;1.0 ess 68ch;Manuelle
DFSK Mini Conteneur 2012 Mini Conteneur;74;90000km;Essence;1.3 ess 81ch;Manuelle
Chery QQ 2013 QQ;74;160000km;Essence;0.8 ess 38ch;Manuelle
Suzuki Alto 2007 Alto;74;300km;Essence;1.0 ess 68ch;Manuelle
Suzuki Maruti 800 2011;74;9000km;;;Manuelle
Peugeot 206 2005 206;74;390165km;Essence;1.1 ess 60ch;Manuelle
Hyundai Atos 1998 GL;74;3950410km;Essence;1.0;Manuelle
Chevrolet Optra 5 portes 2005 Optra 5 portes;74;1111111km;Essence;1.6 ess 16V 109ch;Manuelle
Suzuki Alto 2009;74;320km;Essence;;Manuelle
Suzuki Alto 2012 Alto;74;1km;Essence;1.0 ess 68ch;Manuelle
Haima 1 2013;74;261000km;Essence;;Manuelle
Suzuki Alto 2007 Alto;74;375000km;Essence;1.0 ess 68ch;Manuelle
Renault Clio 1 1999 Clio 1;74;310000km;Diesel;1.9 dci;Manuelle
Dacia STEPWAY 2023 20teen;74;00790km;Essence;1.6;Manuelle
DFSK Mini Truck 2012 SC 2m30;74;30000km;Essence;1.1 ess 53 ch;Manuelle
Chery QQ 2016 QQ;75;300000km;Essence;;Manuelle
Peugeot 206 2003 206;75;;Diesel;1.4 HDI 70ch;Manuelle
Fiat Punto 2001 Classic;75;264000km;Essence;1.2 ess 60ch;Manuelle
Suzuki Maruti 800 2011 Maruti 800;75;158000km;Essence;;Manuelle
Geely FC 2008;75;;;;
Tata Indica 2006;75;;;;
Peugeot 206 Sedan 2007 206 Sedan;75;347000km;Essence;1.4 ess 75ch;Manuelle
Volkswagen Golf 3 1994 Golf 3;75;;Essence;1.4 ess 60ch;Manuelle
Chery QQ 2010 La toute option;75;113000km;Essence;1.1 ess 68ch;Manuelle
Renault Clio 2 2001 Clio 2;75;379546km;Diesel;1.9 D 65ch;Manuelle
Haima 1 2013;75;240km;Essence;1.0 ess 16V 75ch;Manuelle
Mitsubishi L200 2004 L200;75;;Diesel;2.5 D 170ch;Manuelle
Volkswagen Golf 4 1999 Golf 4;75;;Diesel;1.9 TDI 110ch;Manuelle
Suzuki Maruti 800 2013 Maruti 800;75;;Essence;0.8 ess 47ch;Manuelle
Audi A6 2001 Ambition;75;300000km;Diesel;2.5 TDI 150ch;Automatique
Chevrolet Spark 2007 Spark;75;286km;Essence;0.8 ess 48ch;Manuelle
Peugeot 207 2012 207;75;;Diesel;1.6 HDI 112ch;Manuelle
Ford Fusion 2008;75;190000km;Diesel;1.4 TDCI 68ch;
2010;75;;;;
Chevrolet Aveo 5 portes 2005 Aveo 5 portes;75;270000km;GPL;1.5;Manuelle
Opel Corsa 2002 Corsa;75;373km;Diesel;1.7 D 16V 65ch;Manuelle
Zotye Z100 2014 Nouvelle;75;160000km;Essence;1.0 ess 67ch;Manuelle
Renault 19 1995 19;75;;Diesel;1.9;Manuelle
Chery QQ 2014;75;253km;Essence;1.1 ess 68ch;Manuelle
Kia Carens 2004 Carens;75;360000km;Diesel;2.0 CRDI 111ch;Manuelle
Renault Clio 2 1999 Clio 2;75;350000km;Diesel;1.9 D 65ch;Manuelle
Chery QQ 2014 QQ;75;303300km;Essence;1.1 ess 68ch;Manuelle
Renault Twingo 1999;75;;Essence;1.2;Manuelle
Suzuki Alto 2008 Alto;75;300000km;Essence;1.0 ess 68ch;Manuelle
Chery QQ 2013 QQ;75;210900km;Essence;;Manuelle
Maserati Coupé 2004 Coupé;75;310000km;Essence;;Manuelle
Volkswagen Golf 2 1987 Mk2;75;;;;
Chevrolet Optra 4 portes 2008 Optra 4 portes;75;258000km;GPL;1.6 ess 16V 109ch;Manuelle
Suzuki Maruti 800 2013 Maruti 800;75;114.000km;Essence;0.8 ess 47ch;Manuelle
Volkswagen Caddy 2013;75;;Diesel;;Manuelle
Chevrolet Spark 2006 Spark;75;1111km;Essence;1.0 ess 68ch;Manuelle
Renault Express 1995 Express;75;400km;Diesel;1.9 D 65ch;Manuelle
Chery QQ 2013 QQ;75;268km;Essence;1.1 ess 68ch;Manuelle
